문장,분류,인식,기대
"롯데백화점은 이번 박람회에서 소파와 침대, 식탁, 냉장고, 세탁기 등의 상품에 대해 선임상품기획자가 직접 생산자와 연결해 직매입한 고품질의 상품을 합리적인 가격에 선보이고 있다.",6,0,0
지난주 수도권 재건축 대상아파트가격은 평균 1.34% 올랐다.,15,3,0
현지 삼성공인 관계자는 “보통 정책이 발표된 2∼3일 이후부터 가격이 움직이기 시작한다”며 “서울시의 발표가 악재로 작용할 것으로 보인다”고 밝혔다.,15,0,1
"통신료는 요금제를 다양화하고, 저가 이통이나 알뜰폰 등을 활성화해서도 낮출 수 있다.",9,0,1
"경실련은 3일 서울 종로구 경실련 강당에서 기자회견을 열고 ""문재인 정부 3년간 서울 전체 집값은 1호당 기존 평균 5억3000만원에서 1억8000만원 상승해 7억1000만원이 됐다""고 밝혔다.",15,3,0
베스트웨스턴이나 메리어트 등 낯익은 호텔들이 많았지만 이번에는 가격이 문제였다.,12,3,0
공산품과 함께 생산자물가의 두 축인 서비스물가는 오름폭이 오히려 확대됐다.,1,3,0
"이와 함께 현재 주력으로 판매중인 1.6 가솔린 모델에는 1,700만원대의 가격에 버튼시동 스마트키, 풀오토 에어컨, 후방주차보조시스템, 17인치 알로이 휠 등 고객 선호사양을 기본 적용한 '트렌디' 트림을 신설했다.",8,0,0
조사 결과 이들 가격비교사이트에 표시된 배송비와 실제 판매사이트의 배송비 정보가 일치하는 비율은 82.8%에 불과했다.,8,0,0
"김 부원장은 ""대출 증가 속도가 상당히 가파를 때 금리가 상승하거나 부동산 가격이 하락할 경우 가계와 은행의 동반 부실화 가능성이 있다""고 지적했다.",15,0,1
단기적으로 중국 및 주요 소비국의 수요 감소로 인하여 원면 가격이 하락 압력을 받고 있으나 파종 면적 감소라는 호재가 있다는 점에서 전 저점이 위치한 40센트 수준으로 접근 시 저가 매수 전략을 고려해 볼 필요가 있다.,14,3,2
조사는 지난해 만큼 전세가격이 오른다는 가정하에 최근 1년 월평균 전세가율 증감률을 지역별로 산출해 80% 도달에 필요한 개월 수를 계산했다.,5,0,3
"이 상품은 한국전력과 닛케이225 지수를 기초자산으로 하는 3년 만기 상품으로, 6개월마다 두 기초자산의 종가가 모두 최초기준가격의 90% 이상이면 연 12% 수익률로 조기상환된다.",0,0,0
"한국거래소는 ""올해 코스닥 상장기업이 영업이익 13조원으로 사상 최대 실적을 낼 것이라는 전망에 따라 가격 매력이 부각됐고 정부의 국정운영 계획 발표로 인한 수혜 기대감이 반영됐다""고 설명했다.",16,3,0
"” 권대중 교수님, 이분은 지금 실제 거주자라서 아주 피부에 와 닿는 얘기를 해 주셨는데 10년 공공임대하면 입주민들이 쫓겨날 처지에 놓일 수 있다, □ 권대중임대 후 분양하는 아파트들의 분양가격이 분양 시점의 감정가격입니다.",15,0,0
금값이 정말 바닥을 찍었다면 ‘상투 잡았다’는 비판을 또 듣기 전에 서둘러야 할지도 모른다.,14,1,0
"대한제분, CJ제일제당, 삼양사 등 주요 밀가루 제조사들이 가격 인상을 추진하자 농심, 오뚜기, 삼양식품 등 라면업계 빅 3는 일제히 주요 제품 가격 인상을 결정했다.",2,3,0
강남 부동산시장은 현재 재건축 규제와 세제 완화에도 불구하고 가격이 하락하고 있는데 경기가 회복되지 않는 한 당분간 하락세가 지속될 것으로 보인다.,15,1,1
물가연동제가 여의치 않을 경우에는 △현재 354원인 국민건강증진부담금 인상 △국세로 담배소비세 신설 △국민건강증진부담금을 담배소비세로 전환 등의 대안도 제시했다.,0,0,0
"▲ '2010 Special Edition' 딤채 한편 ‘2010 스페셜 에디션’의 가격은 스탠딩형이 190만~200만원 선이며, 뚜껑형은 200리터와 220리터급 총 12개 모델로, 100만~170만원 수준이다.",6,0,0
이들은 총사업비 한도 내의 가격을 써내 유력 기종으로 남은 보잉의 F-15SE가 F-X 기종으로 선정돼서는 안 된다고 주장한 것으로 전해졌다.,0,0,0
"예를 들어 경기선행지수 증감률이나 D램 가격, 원ㆍ달러 환율 등의 변화추세를 그래프로 그려놓고 보면 신기할 정도로 주가와 같은 움직 임을 보이는 것이 확인된다.",0,0,0
그러나 무엇보다 낙폭과대에 따른 가격논리에 따른 급등이라는 견해가 강하다.,0,0,0
통계청은 1월 소비자물가지수는 104.69로 지난해 같은 달보다 3.6% 상승했다고 4일 발표했다.,1,3,0
"A사는 의도적으로 보험급여 대상인 임플란트 가격은 비싸게, 비급여 대상인 치과용 합금 가격은 싸게 책정한 '패키지 상품'을 병원 1천2백여 곳에 공급하면서 100억여 원에 달하는 치과용 합금을 사실상 무료로 준 것으로 조사됐습니다.",7,0,0
이처럼 납세 인원이 줄어든 것은 종부세법 개정으로 1가구 1주택자 과세기준금액이 6억원에서 9억원으로 인상되고 부동산 공시가격이 크게 하락했기 때문이다.,15,1,0
"정부는 세제와 대출, 청약 등을 망라한 12·16 부동산 종합 대책을 발표한 지 하루만인 오늘 부동산 가격공시 제도 개편안을 내놓으며 주택시장에 대한 강공을 이어가고 있습니다.",15,0,0
현대차는 이미 실무선에서 몇 차례 가격 인상안을 검토했던 것으로 전해졌다.,8,0,3
영창악기 가격 낮추고 품질은 높이고 관악기 사업 확대,10,1,0
"소는 초식동물이어서 조사료나 볏짚 등으로 대체가 가능하지만, 돼지는 배합사료 이외에는 다른 대안이 없어 사료 값이 양돈농가의 채산성에서 80%를 차지하기 때문이다.",0,0,0
CJ제일제당이 앞서 밀가루 소매가격을 인상해 대한제분 등 경쟁업체들도 잇따라 가격 인상을 단행할 것으로 보인다.,2,3,0
일부 정황이 드러난 것에 불과하지만 만약 정부가 다국적사 압력에 밀려 장관을 경질하고 당연히 내려야 할 약값도 조정하지 못할 지경이라면 인사 시스템과 정책수행 능력에 중대한 문제가 있다고 생각된다.,7,2,0
"애플 ‘홈팟’, 경쟁사 제품과 가격 비교하면?",10,0,0
업체간의 가격 인하경쟁이 가열되면서 일부에선 ‘밀어내기식’ 판매조짐까지 나타나고 있다.,0,1,0
이에따라 최근 현물가격의 상승세에 따라 고정거래가격과의 차이가 축소되고 있다.,0,3,0
특히 수도권 아파트값 상승률은 지난주 0.18%에서 금주 0.28%로 늘어났다.,15,3,0
모간스탠리는 D램 제품의 가격이 3분기에 정점을 찍고 이후 하락할 것이라고 전망했다.,17,3,1
정품 가격 2천5백억 원어치 '짝퉁' 시계 적발,13,0,0
라메종 0809의 온라인 쇼핑몰은 투명한 가격 공개로 고객들의 신뢰를 쌓을 수 있는 공간을 만들기 위한 이종문 원장의 생각이 반영된 결과물이다.,0,0,0
올해 광양 매실은 냉해피해로 수확량이 줄어들었지만 소비자들의 선호도가 높아지면서 가격이 예년에 없이 높다고 합니다.,2,3,0
그는 IBM이 가격 경쟁으로 인해 고객을 다수 잃을 수 있다는 가능성에 초점을 맞추고 최근 IBM에 대한 투자의견을 `보유`로 하향 조정했다.,16,0,1
한편 4일 `금광' 재료로 상한가를 기록한 현대상사는 5일에도 무려 7천만주 가까이 매수잔량이 쌓이며 가격제한폭까지 상승했다.,16,3,0
"우크라이나 해바라기씨, 유채 수출이 차질을 빚을 것이란 전망으로 대체품목인 팜유 가격이 뛰는 등 러시아의 우크라이나 침공이 상품시장 전반에 연쇄반응을 일으키고 있다.",2,3,0
전·월세 임대료는 모두 주변시세의 90%이하로 책정해야 한다.,5,0,0
롯데마트는 이번에 판매하는 패딩조끼와 다운점퍼의 가격을 낮추기 위해 무관세 지역인 베트남에서 봉제했다.,4,1,0
5GX 요금제 이용 고객은 11번가에서 T멤버십으로 엑스박스 컨트롤러도 최대 1만원 할인 받을 수 있다.,9,0,0
GS리테일이 운영하는 편의점 GS25는 1600원짜리 ‘반값 택배’를 선보인다고 25일 밝혔다.,8,1,0
한국맥도날드가 오는 25일부터 버거류 11종 등 총 30종의 가격을 인상한다고 밝힌 가운데 22일 서울의 한 맥도날드에서 손님들이 주문을 하고 있다.,12,3,0
"제품별로는 노트북PC용의 판매가격이 10%, 데스크탑용이 20%, LCD TV용이 30% 가량 각각 하락할 것으로 전망했다",17,1,0
하지만 환경단체 등 일각에서는 일부 구가 선심성 공약이행 때문에 2012년 종량제봉투 가격 단일화 합의를 깨고 가격 인하를 단행했다며 7년 만에 지역별로 종량제봉투 가격이 달라진 것에 대해 혼란을 우려했다.,5,1,0
60주째 상승 기록 세운 서울 전세가격,5,3,0
쌈장의 경우 정상가는 행사 직전의 5200원으로 한달가량 가격을 50% 인하해 판매했다는 것이다.,2,1,0
이같은 투자의견과 목표가의 대대적인 하향 조정은 아시아 철강가격의 하락세를 배경으로 하고 있다.,14,1,0
품목별로 보면 과일류 가격은 지난해 양호했던 기상여건 영향으로 하락했다.,2,1,0
이러한 경제상황을 감안하여 지난해 당행은 물가안정에 중점을 두면서도 경기회복을 뒷받침하는 방향으로 통화정책을 운영하였습니다.,1,0,0
중국의 지난 2월 생산자물가지수 상승률이 전년 동월 대비 0.1% 올르며 가까스로 마이너스를 면했다.,1,2,0
석탄공사의 부실은 연탄 수요가 급감한데다 채굴비용이 판매가격보다 비싼데에서 비롯됐다.,0,0,0
음식의 기본이 되는 장류 가격도 이날부터 일부분 오른다.,2,3,0
정부는 작년 12월 연료비 조정단가와는 무관하게 올해 ㎾h당 11.8원에 이르는 요금인상을 확정한 상태다.,5,3,0
"한국전력의 경우 정부의 내년 산업용 전기요금 동결, 가정용 전기요금 인하 등 악재를 맞은 데다 외국인의 손절매성 매물이 더해지자 주간 15.19% 급락했다.",5,0,1
또 다른 체감물가 보조지표인 생활물가지수는 전년보다 2.8% 올랐다.,1,3,0
"농심은 공정위 결정은 받아들이겠다고 하면서도, 가격 인하는 현재로서는 고려하지 않고 있다고 밝혔습니다.",2,0,2
이에따라 주가상승 모멘텀인 전기요금 인상이 물건너 가는 것이 아니냐는 의견이 제기돼 관심이다.,5,0,2
하지만 실적이 이처럼 탄탄한 것이 오히려 전기요금 인상에 악재로 작용할 것이라는 의견이 퍼지고 있다.,5,0,2
이화여자대학교 김상섭 교수도 “공정경쟁을 유발할 수 있도록 통신결합상품의 가격할인폭을 조정한다면 기업은 경쟁력을 갖출수 있고 소비자는 통신요금 할인 등 혜택이 확대돼 될 것”이라고 지적했다.,9,0,1
"진흥회 관계자는 ""PDP TV가격은 42인치 기준으로 현재 1000만원이지만 정부가 잠정세율로 낮춰줄 경우 2005년께 500만원선으로 내려올 시점이 2003년으로 앞당겨질 것""이라고 말했다.",10,0,1
"LG디스플레이, 2Q에도 '호실적'…패널가격 상승 수혜(상보)",16,3,0
디지털 TV의 또다른 한 축인 LCD TV의 가격인하도 머지않은 것으로 보입니다.,10,0,1
아오웨이쯔쉰은 액정TV의 경우 2분기 판매량이 업체들의 예상을 크게 밑돌며 재고가 급증해 제품가격 인하 배경이 됐다고 덧붙였다.,10,0,1
삼성전자는 12월 들어 LCD·PDP TV의 가격을 6만∼10만원 인상했다.,10,3,0
"공정거래위원회는 삼성전자와 LG전자가 짜고 세탁기와 평판 TV, 노트북PC의 가격을 올린 사실이 적발됐다고 밝혔습니다.",10,3,0
"65인치 TV 패널 가격은 상승 흐름을 유지했고, 다른 32~55인치 TV 패널 가격은 보합을 기록했다.",10,3,0
"◇ 롯데주류, 처음처럼 73원 인상…클라우드도 가격 올라처음처럼 출고가는 1006.5원에서 1079.1로 73원 오른다.",3,3,0
"가공식품은 라면, 과자, 통조림, 음료, 주류 등 사실상 전품목이 가격 올리기 대열에 합류했다.",2,3,0
외식 소줏값이 큰 폭으로 오른 것은 지난해 말 주류업체들이 잇따라 소줏값을 인상했기 때문입니다.,3,3,0
한국은행이 이날 발표한 9월중 생산자물가도 작년 같은 기간에 비해 7.5% 오르 면서 지난 8월과 같은 높은 상승률을 기록했다.,1,3,0
25일 기획재정부와 유통업계에 따르면 KT&G와 한국 필립모리스가 시중에 판매중인 담배의 가격을 대부분 갑당 2천원 인상하기로 했다.,3,3,0
택시요금이 인상될 경우 버스 항공요금까지 덩달아 오를 가능성이 높다.,7,0,3
포스코건설은 유류 및 철강재 등 원자재가격 급등에 따른 협력사의 원가부담을 완화시키기 위해 183개사를 대상으로 289억원의 납품단가를 인상조정하고 중소기업 펀드 조성을 통해 협력사에 68억원을 지원하는 등 적극적인 협약 이행 모습을 보였다.,14,3,0
때문에 최근 소비자물가지수 상승의 주범으로 꼽힌다.,1,3,0
서울시는 버스의 만성적자를 해결하기 위한 방안으로 요금인상을 주장하고 있다.,8,0,3
"BAT코리아, '보그 3종' 200원 가격 인하",3,1,0
"외식업체 79% ""경영 악화…가격 인상할 것""",12,3,0
돼지고기 가격 급등은 삼겹살 등 외식비 상승으로 이어져 물가 상승의 원인으로 등장했다.,2,3,0
다만 외식 물가는 3.1%로 소비자물가보다 높게 올랐다.,12,3,0
올 초부터 시작된 외식업계 가격 인하 전략은 연말까지 이어질 것으로 보인다.,12,1,1
"휴가철에는 수요가 많은 만큼 숙박료나 교통비, 외식비 등이 오르는 것은 자연스러운 일이지만 이미 물가가 높은 상황에서 피서지 물가가 지나치게 오르면 서민들의 부담을 가중시킬 수 있다.",12,3,0
골프장내 식당은 일반적으로 시중에 비해 2~3배 가격이 비싸다.,12,0,0
"실제로 돼지고기의 경우, 발효 이전 1㎏당 3612원이었던 수입가격은 발효 뒤인 지난달엔 2894원으로 20%가량 낮아졌다.",2,1,0
근원 인플레이션은 농산물·석유류 제외지수 및 식료품·에너지 제외지수가 연간으로 각각 2.6% 상승할 것으로 내다봤다.,1,3,0
"2월 수입물가는 0.8% 상승, 예상치 0.7%를 웃돌았다.",1,3,0
그에 반해 금 가격은 3.3% 급락했다.,14,1,0
패널가격 하락에…삼성-LG TV 4분기 ‘더 맑고 쾌청’,17,1,0
"동원그룹의 금융지주회사인 동원파이낸스가 본인가를 앞둔 비상장 상태를 이용, 주주들에게 주식을 헐값에 넘기려 하고 있다는 의혹이 일고 있다.",16,0,0
은 가격은 49센트 급등한 11.58달러에 거래됐다.,14,3,0
"세계 최대 마이크로프로세서 제조 회사인 인텔이 오는 4월에 팬티엄4 프로세서의 값을 최대 57% 인하할 가능성이 크다고 애널리스트의 말을 인용, 블룸버그 통신이 19일 보도했다.",10,0,1
"마포구와 성동구, 서대문구, 성북구 등도 전셋값 강세가 이어졌다.",5,3,0
이와 관련해 국회재경위는 최근 헐값매각 의혹과 관련해 관련자 처벌을 요구하는 고발장을 검찰에 낸 상태였다.,0,0,0
10년만기 국채 6월선물 가격은 0.04포인트 내린 137.35를 기록했다.,16,1,0
국제 원자재 가격 급락으로 LPG 대체수요가 감소하고 국내 판매가격 인하 압력도 높아져 영업환경은 올해보다 나빠지겠지만 내년 말 원ㆍ달러 환율은 올해보다 300원 낮은 1150원으로 예상돼 외환 관련 이익이 1349억원에 이를 것이라는 전망이다.,14,1,0
"이는 저비용항공사가 생기기 이전에는 전혀 찾아보기 힘들었던 기존항공사들의 가격파괴 현상으로, 제주항공 등의 저비용항공사 효과라고 볼 수 있다.",8,1,0
채 원장은 30년 전 현재의 공시가격 체계를 만든 인물이다.,0,0,0
"S 1000 RR의 가격은 부가세를 포함해 베이직 패키지 모델은 2190만원이며 레이스 ABS와 DTC, 기어 시프트 어시스턴트가 포함된 프리미엄 패키지 모델은 2490만원이다.",8,0,0
이는 가계의 사교육비와 의료비 지출이 늘어났기 때문으로 분석됐다.,11,3,0
또 투아렉의 V8 4.2 가솔린 모델에 대해선 가격인하와 동시에 TV디스플레이 장치를 장착해 사양을 높였다.,8,1,0
집값이 한번 오르면 쉽게 떨어지지 않는다는 하방경직성의 일반적인 특징이 '버블 세븐' 지역에서도 똑같이 벌어지고 있다고 부동산 전문가들은 분석했다.,15,2,2
"또 가스료, 수도료, 온수료, 그리고 공공 교통요금과 등록금 및 기숙사비도 통제되며 의료비용도 현 수준이 유지된다.",5,2,2
"박 장관은 이날 중앙청사에서 열린 물가관계장관회의에서 ""무, 배추 생산량이 작년보다 크게 늘어날 것으로 예상되고, 대파 등 일부 양념류 출하량도 증가할 전망""이라며 이같이 말했다.",2,0,0
지난 2001년 우리나라의 연간 사교육비는 약 9조원 정도로 추정되고 있다.,11,0,0
학원비와 학습지 가격이 인상됐는데 교복 가격까지 오르니 학부모들의 부담은 심각해지고 있는 상황이다.,11,3,0
기타 교육물가 중 종합반 입시학원비는 7.8% 올라 2003년 3월 이래 37개월 만에 가장 큰 폭의 상승률을 나타냈다.,11,3,0
"품목은 쌀 배추 고추 마늘 양파 돼지고기 소고기 닭고기 가공식품 등 농산품을 비롯해 지방공공요금, 알뜰주유소, 교육비, 의약품비, 전월세 등이다.",1,0,0
학생 1인당 월평균 사교육비는 2013년 23만9천원으로 전년보다 1.3% 증가해 월평균 소비지출 상승률을 웃돌았다.,11,3,0
"세척화건과 반태양초 및 꼭지를 제거한 고추는 작년 판매가격과 같으나 태양초는 2천원이 올랐는데, 이는 올해 흐리거나 비가 내린 날이 많아 태양초 생산량이 크게 줄어든 데다 상대적으로 많은 노동력이 소요되기 때문이다.",2,3,0
10일 한국석유공사에 따르면 9일 뉴욕상업거래소에서 거래된 서부 텍사스산 원유 선물가격은 전날보다 배럴당 2.36달러 하락한 86.59달러로 마감해 올해 들어 가장 낮았다.,14,1,0
"GM이 구상중인 신 마케팅 전략의 핵심은 부유층이 밀집해 있는 서부 및 동부해안 지역과 빠르게 성장하고 있는 플로리다 남부지역을 대상으로 가격을 할인해주고, 핵심 모델 위주의 판매를 강화한다는 내용이다.",7,1,0
서울시 전체 재건축 아파트값도 0.10% 오르며 지난 3월말 이후 상승폭이 가장 낮았다.,15,3,0
코스닥 시장의 경우 선물가격이 6% 이상 상승하고 1분이상 유지될때 향후 5분간 프로그램 매수호가 효력이 정지된다.,16,3,0
미국의 소비자물가지수가 에너지가격 상승세로 전월대비 0.3% 상승했다.,1,3,0
구매자 입장에서도 기왕이면 싼 가격에 그것들을 살 수 있으면 더욱 좋고요.,0,0,0
지난 12일부터 제2금융권까지 총부채상환비율 규제가 확대되면서 서울 강남권은 동반 하락했고 서울 지역 전체 매매가격도 내림세로 돌아섰다.,15,1,0
[집중취재] '요지경 기름값' 못 믿을 인터넷 주유소 가격 정보,8,0,0
각국 S램 가격 이달 10-20％ 인상 방침,17,1,0
이 같은 '커피값 다이어트'는 지난해 단행된 커피전문점의 커피 가격 인상으로 인한 틈새 시장을 노렸다는 것이 업계 분석이다.,12,3,0
"방통위가 공표한데로 10월부터 차상위계층까지 이동전화 요금을 감면해주게 되면, 이로 인해 이통사 올해 매출은 1500~2000억원 가량 줄어들 것으로 보인다.",9,1,0
고유가와 원화값 급등으로 하반기 경제가 어려운 상황이다.,14,3,0
재고 증가 및 미국경제 둔화 우려 등 향후 시장 전망에 대한 불확실성으로 금ㆍ알루미늄ㆍ납ㆍ아연 등 대부분 품목의 가격이 급락했다.,14,1,0
"수원농협에서 제공하는 한우갈비세트, 영광 쌍용 굴비세트 , 한과 , 영동곶감 등 지역특산품이 파격적인 가격에 제공된다.",2,1,0
"GS칼텍스는 오는 14일부터 주유소에 공급하는 석유제품 세후공장도 가격을 휘발유는 리터당 16원, 등유와 경유는 18원과 15원을 각각 내린다고 밝혔습니다.",7,1,0
물론 중국과 경합중인 수출품들은 단기적으로 가격경쟁력 향상을 기대할 수 있게 된다.,0,0,0
"열람한 가격에 이의가 있는 경우 이의 신청을 할 수 있으며, 이의 신청 접수주택에 대해서는 결정 가격의 적정여부 등을 재조사해 6월 중에 결과를 통보받을 수 있다.",0,0,0
이날 발표된 미국의 11월 생산자물가가 시장 예상을 밑돈 게 달러 약세를 부추겼다.,1,2,0
구두와 화장품 업체 등도 원자재 가격 인상으로 제품값도 비싸질 수밖에 없다는 입장이다.,13,0,3
이에 따라 올해는 지역별로 경제와 부동산가격 등에서 양극화가 심화할 가능성이 큰 것으로 보인다.,15,0,0
그러나 국내 정유사들은 두바이유를 주로 수입하고 있기 때문에 유종간 가격 차이에 따른 정제마진은 확대되고 있다.,14,0,0
자본주의 기본원칙에 위배되고 시장원리에도 부합되지 않는 제도는 아무리 여론이 뒷받침하더라도 결국에는 실패할 수밖에 없다는 값진 교훈을 얻은 셈이다.,0,0,0
축산물품질평가원 관계자는 “최근 며칠 새 돼지고기 도매가격 인상은 도매 업체들이 코로나19가 더 확산하면 이후 돼지고기 수급에 문제가 발생하지 않겠냐는 우려 때문에 돈육을 비축한 영향이 있었던 것 같다”고 말했다.,2,3,0
"그러나 지난해 4분기 원화 값이 오르고 엔저가 본격화되자 현대차의 영업이익률은 10% 이하로 떨어졌고, 기아차는 1년 전 대비 영업이익이 반토막 났다.",0,0,0
"신호제지 채권단 관계자도 ""신호제지 수출이 증가하고 제품가격이 상승하면서 매출 실적이 좋아지고 있으며, 이자를 정상적으로 내고 있다""고 말했다.",17,3,0
"대내적으로는 외국인 채권투자를 비롯해 주택가격과 금리 변동에 취약한 가계부채 구조, 건설업 등 일부 업종과 한계기업의 부실위험, 은행 단기예금과 특판예금의 만기 집중 등을 꼽았다.",0,0,0
강남구는 이사철 비수기로 전세수요가 한풀 꺽인데다 EBS수능특강 여파로 학원이사 수요까지 급감하면서 대치동 일대 전세가격 하락세가 크게 나타났다.,5,1,0
재건축 아파트들이 본격적인 하락세를 보이기 시작한 3·30 부동산대책 이전 가격을 거의 회복한 셈입니다.,15,3,0
"■ 매각 순손실 1조5천억원 = 정부가 현투증권을 팔면서 푸르덴셜한테서 받을 돈은 5천억~7천억원 가량인데, 1차 매각분의 추정 가격만 보면 지난 3월 양해각서를 맺을 때의 5천억원보다 낮아졌다.",0,0,0
특히 전 세계적으로 곡물류 등 원자재에 대한 사재기가 확산되면 전반적으로 값이 오를 수 있어 다각적인 대응 방안을 강구하고 있다.,14,0,3
당국은 지난 92년부터 2001년까지 10년간 1월의 평균 물가 상승률이 0.9%였기 때문에 올해 1월의 0.6%는 상대적으로 낮은 편이라고 설명하고 있다.,1,2,0
"이마트, 봄 맞이 '반값 할인' 등 이벤트 풍성",2,1,0
이날도 12시30분 아시아 반도체 현물가 발표 이후 지수는 상승폭이 크게 확대됐다.,16,3,0
내년 소비자물가 상승률 전망치는 1.7%로 제시했다.,1,0,0
"기획재정부는 ""향후 소비자물가는 10월 이후 전기요금 인하 효과가 소멸하면서 평소의 1% 내외 수준을 회복할 것""이라며 ""유가가 완만하게 상승하면 저유가 효과가 점차 축소되면서 물가 하방압력이 점차 완화될 것""으로 전망했다.",1,1,2
올해는 전세계 소비 향상으로 인해 곡물가격은 점진적으로 상승할 것으로 전망한다.,14,0,3
기후 변화로 연평균 기온이 1도 상승하면 1㏊당 농지 가격은 약 1천455만∼1천924만원 하락할 것으로 전망됐다.,15,0,1
"트렌드포스 보고서에 따르면, 올 4분기에 모바일 디램 가격은 10~15% 가량 더 오르고, 4분기 매출 증가율은 3분기를 넘어설 것으로 전망된다.",17,3,3
"휘발유 가격, 1400원대로 떨어졌다..다음 주도 하락 전망",8,1,1
디스플레이업계에선 공급 부족으로 내년 1분기까지 LCD 가격 상승세가 지속될 것이란 전망이 나온다.,17,3,3
3월엔 세법 개정에 따른 주세 인상이 예정돼 있어 맥주와 막걸리 가격도 오를 것으로 전망된다.,3,0,3
이에 따라 가격도 꾸준한 강세가 예상된다.,0,3,3
업계관계자는 중국이 지난해부터 철강 수입량을 늘리면서 공급부족 현상이 발생하고 있다며 고철을 원료로 하는 현대제철 동부제철 등에서 생산되는 제품 가격이 상승할 가능성이 높다고 내다봤다.,17,0,3
현대차는 2009년쯤 양산에 들어갈 예정이지만 일반차 값에 비해 300만~400만원 가량 비쌀 것으로 보인다.,7,0,3
"마트들은 ""원래 마트 공통으로 목요일마다 신선식품 가격조정에 나서기 때문""이라고 설명하지만, '꼭 같은 시기여야 하는지'에 대해서는 명확한 답을 내놓지 못하고 있다.",2,0,0
